frame,player name,weapon 1,weapon 2
6414,7xaniya,VOLT,ALTERNATOR
6415,7xaniya,VOLT,ALTERNATOR
6416,NAVI_Neshh,,
6417,NAVI_Neshh,RE-45,
6418,NAVI_Neshh,RE-45,
6419,NAVI_Neshh,RE-45,
6420,NAVI_Neshh,RE-45,
6421,NAVI_Neshh,RE-45,
6422,NAVI_Neshh,FLATLINE,RE-45
6423,NAVI_Neshh,FLATLINE,R-301
6424,NAVI_Neshh,FLATLINE,R-301
6425,NAVI_Neshh,FLATLINE,R-301
6426,NAVI_Neshh,FLATLINE,R-301
6427,NAVI_Neshh,FLATLINE,R-301
6428,NAVI_Neshh,FLATLINE,R-301
6429,NAVI_Neshh,FLATLINE,R-301
6431,NAVI_Neshh,FLATLINE,R-301
6432,NAVI_Neshh,FLATLINE,R-301
6433,NAVI_Neshh,FLATLINE,R-301
6434,NAVI_Neshh,FLATLINE,R-301
6435,NAVI_Neshh,FLATLINE,R-301
6436,NAVI_Neshh,FLATLINE,R-301
6437,NAVI_Neshh,FLATLINE,R-301
6438,NAVI_Neshh,FLATLINE,R-301
6439,NAVI_Neshh,FLATLINE,R-301
6440,NAVI_Neshh,FLATLINE,R-301
6441,Gambit_Artyco,SPITFIRE,
6442,Gambit_Artyco,SPITFIRE,TRIPLE TAKE
6443,Gambit_Artyco,SPITFIRE,TRIPLE TAKE
6444,Gambit_Artyco,SPITFIRE,TRIPLE TAKE
6445,Gambit_Artyco,SPITFIRE,TRIPLE TAKE
6446,Gambit_Artyco,SPITFIRE,TRIPLE TAKE
6447,Gambit_Artyco,SPITFIRE,TRIPLE TAKE
6448,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6449,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6450,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6451,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6452,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6453,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6454,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6455,Leogri3x6_Gambit,EVA-8 AUTO,R-301
6456,Gambit_Hardecki,VOLT,MASTIFF
6457,Gambit_Hardecki,VOLT,MASTIFF
6458,Gambit_Hardecki,VOLT,MASTIFF
6459,Gambit_Hardecki,VOLT,MASTIFF
6460,Gambit_Hardecki,VOLT,MASTIFF
6461,Gambit_Hardecki,VOLT,MASTIFF
6462,Gambit_Hardecki,VOLT,MASTIFF
6463,Gambit_Hardecki,VOLT,MASTIFF
6467,COOLER_Gnaske,ALTERNATOR,MASTIFF
6468,COOLER_Gnaske,ALTERNATOR,MASTIFF
6469,COOLER_Gnaske,ALTERNATOR,MASTIFF
6470,COOLER_Gnaske,ALTERNATOR,MASTIFF
6471,COOLER_Gnaske,ALTERNATOR,MASTIFF
6472,COOLER_Gnaske,ALTERNATOR,MASTIFF
6473,COOLER_Gnaske,ALTERNATOR,MASTIFF
6474,COOLER_Gnaske,ALTERNATOR,MASTIFF
6475,COOLER_Gnaske,ALTERNATOR,MASTIFF
6476,COOLER_Gnaske,ALTERNATOR,MASTIFF
6477,COOLER_Gnaske,ALTERNATOR,MASTIFF
6478,COOLER_Gnaske,ALTERNATOR,MASTIFF
6479,COOLER_Gnaske,ALTERNATOR,MASTIFF
6480,COOLER_Gnaske,ALTERNATOR,MASTIFF
6481,COOLER_Gnaske,ALTERNATOR,MASTIFF
6482,COOLER_Gnaske,ALTERNATOR,MASTIFF
6483,COOLER_Gnaske,ALTERNATOR,MASTIFF
6484,COOLER_Gnaske,ALTERNATOR,MASTIFF
6485,COOLER_Gnaske,ALTERNATOR,MASTIFF
6486,COOLER_Gnaske,ALTERNATOR,MASTIFF
6487,G7Dolphn,SPITFIRE,G7 SCOUT
6488,G7Dolphn,SPITFIRE,G7 SCOUT
6489,G7Dolphn,SPITFIRE,G7 SCOUT
6490,G7Dolphn,SPITFIRE,G7 SCOUT
6491,G7Dolphn,SPITFIRE,G7 SCOUT
6492,Twitch-Badoli,MASTIFF,CHARGE RIFLE
6493,Naghz,VOLT,R-99
6494,Naghz,VOLT,R-99
6495,Naghz,VOLT,R-99
6496,Naghz,VOLT,R-99
6497,Naghz,VOLT,R-99
6499,G7Dolphn,SPITFIRE,G7 SCOUT
6500,G7Dolphn,SPITFIRE,G7 SCOUT
6501,G7Dolphn,SPITFIRE,G7 SCOUT
6502,NAVI_Kouhia,VOLT,G7 SCOUT
6503,NAVI_Kouhia,G7 SCOUT,
6504,NAVI_Kouhia,VOLT,G7 SCOUT
6505,NAVI_Kouhia,VOLT,G7 SCOUT
6506,NAVI_MaxStrafe,G7 SCOUT,EVA-8 AUTO
6507,NAVI_Neshh,R-301,MASTIFF
6508,NAVI_Neshh,R-301,MASTIFF
6509,NAVI_Neshh,R-301,MASTIFF
6510,NAVI_Neshh,R-301,MASTIFF
6511,NAVI_Neshh,R-301,MASTIFF
6512,NAVI_MaxStrafe,G7 SCOUT,EVA-8 AUTO
6515,NEW_K4SHERA,FLATLINE,VOLT
6516,NEW_PostKiLL,EVA-8 AUTO,HAVOC
6517,NEW_PostKiLL,EVA-8 AUTO,HAVOC
6520,NEW_Rogerboger,,
6522,NEW_Rogerboger,R-301,EVA-8 AUTO
6524,NEW_K4SHERA,FLATLINE,VOLT
6525,NEW_K4SHERA,FLATLINE,VOLT
6527,Gracefulfps,MASTIFF,G7 SCOUT
6531,Gracefulfps,MASTIFF,G7 SCOUT
6532,Gracefulfps,MASTIFF,G7 SCOUT
6534,Gracefulfps,MASTIFF,G7 SCOUT
6535,Gracefulfps,MASTIFF,G7 SCOUT
